Index	Time	Speaker	Speech Segment	Open code(s)	Axial code(s)
57	"00:06:33"	"Speaker 3"	"OK, I got you so. It's it's not quite literally kind of like I'm thinking like Xbox, you know, like that, right? Sort of."	""	""
58	"00:06:43"	"Speaker 2"	"The Kinect or whatever it's called, right?"	""	""
59	"00:06:45"	"Speaker 1"	"Yeah. Xbox. There is a Kinect that we can borrow. It's in the hardware lab."	""	""
60	"00:06:51"	"Speaker 3"	"OK. Interesting."	"Validation of idea"	"Project"
61	"00:06:52"	"Speaker 1"	"I'll put that. It's it's like gesture detection for like."	""	""
62	"00:06:59"	"Speaker 3"	"I know there's like I know for like body movements. We can also use like you guys know OSC, OSC data. It's like you can transmit data from like."	""	""
63	"00:07:12"	"Speaker 3"	"Like image detection or something so a camera can detect all your body movements and all your body like translations, positions, rotations into data and it’ll like transmit that data to whatever IP address that you want and that could be to your laptop or to your IPad or anything? So we can use that data based on your body movements for anything like the ping pong idea. That's just one way to go about it. Or we could quite literally just use the Kinect, I feel like it's straightforward."	"Explanation of an idea"	"Project"
64	"00:07:46"	"Speaker 2"	"Alright, OK."	""	""
65	"00:07:48"	"Speaker 3"	"OK. So, like what? What general field are we all like thinking about going into? A game dev game like a game idea? Sort of. Or do you want to make something like a, cause like an idea that I had was maybe like sort of like a like just a hardware thing. So like like in the like orientation sort of thing, he gave an example where like someone made a like a like a camera like he just duct taped his phone camera on his like face and he just had, like, a bunch of flex sensors. And he just quite literally like just controlled the zoom on it just to, like, see how far people are or whatever it is. Like. It was a simple project, but apparently did really well. So I was thinking something like that. Like, we would have some, I guess, physical sensors and we could make the user interact that way and it translates to maybe your web page or it does something? I don't know this is an idea."	"Explanation of an idea, Facilitation"	"Project, Team process"
66	"00:08:42"	"Speaker 4"	"Cool. Do we know? Like what category are we trying to go for like? Is it just hardware?"	"Validation of idea, Clarification of team task"	"Project, Clarification"
67	"00:08:51"	"Speaker 1"	"So if you haven’t looked at the DevPost, there are no like tracks per say"	""	""
68	"00:08:59"	"Speaker 4"	"We're just trying to go for the top 12 then. OK, OK."	"Team goal,Team goal to win"	"Team goal"
69	"00:09:01"	"Speaker 1"	"Seems like it because most of the categories are blockchain."	"Goal validation"	""
70	"00:09:06"	"Speaker 4"	"True. Yeah. Blockchain and some like this LLM stuff."	""	""
71	"00:09:10"	"Speaker 3"	"Yeah. OK. All right. So we have control robot with camera gestures object."	""	""
72	"00:09:19"	"Speaker 1"	"This is from the chat. This is possible bad things on the."	""	""
73	"00:09:24"	"Speaker 3"	"To be fair, like if we're making a game, it's gotta be like sort of simple. You know what I mean? Because like, yeah."	"Explanation of an idea, Scoping"	"Project, Design process"
74	"00:09:30"	"Speaker 1"	"That's why the the gesture thing is like simple enough."	"Validation of idea"	"Project"
75	"00:09:32"	"Speaker 3"	"Yeah, exactly because like, if you make a like a game, it can get like super complicated and it's gonna take too much time."	"Time commitment"	"Team process"
76	"00:09:38"	"Speaker 2"	"Especially weekend. Yeah, for sure."	""	""
77	"00:09:42"	"Speaker 3"	"AI will be, I think it's like. If AI if we have like. Has anyone prepared any like data set?"	""	""
78	"00:09:48"	"Speaker 4"	"Is that for training?"	""	""
79	"00:09:49"	"Speaker 2"	"We research it or we use LLM."	""	""
80	"00:09:54"	"Speaker 3"	"There's that."	""	""
81	"00:09:55"	"Speaker 4"	"Like something public domain I guess."	""	""
82	"00:09:58"	"Speaker 3"	"OK. And I guess you could skip that. OK."	""	""
83	"00:10:06"	"Speaker 2"	"So we're feeling game Dev and computer vision. Sorry, I'm kind of like think more along that line"	"Convergence onto topic"	"Design process"
84	"00:10:12"	"Speaker 1"	"Does anyone else want to add or subtract a topic? Yeah to what we're thinking about?"	"Checking in with others, Facilitation"	"Team dynamics, Team process"
85	"00:10:17"	"Speaker 4"	"Invested robotics will be overused. Like what does that mean?"	"Asking for idea clarification"	"Project"
86	"00:10:20"	"Speaker 1"	"Ohh, it's like everyone's going to be doing it in this hackathon so we."	"Uniqueness of project"	"Project"
87	"00:10:20"	"Speaker 2"	"Well, there's this."	""	""
88	"00:10:24"	"Speaker 3"	"I I feel like I feel like a lot of people are gonna at least use hardware. They're they're preaching about hardware being like a big thing for this hackathon, so I think a lot of people will take advantage of that."	"Uniqueness of project, Hackathon strategy"	"Project, Hackathon features"
89	"00:10:33"	"Speaker 2"	"No, this is just my fears that I listed out, you don't have to."	""	""
90	"00:10:37"	"Speaker 1"	"So they're not like we're not doing."	""	""
91	"00:10:37"	"Speaker 4"	"This yeah."	""	""
92	"00:10:39"	"Speaker 1"	"It they're just. Like either."	""	""
93	"00:10:40"	"Speaker 3"	"That's it."	""	""
94	"00:10:41"	"Speaker 4"	"Yeah, I don't know if they'll be overused, honestly, but we'll see. OK. I think there's a lot of."	""	""
95	"00:10:46"	"Speaker 3"	"OK, wait."	""	""
96	"00:10:46"	"Speaker 4"	"Like, yeah, I spell for."	""	""
97	"00:10:46"	"Speaker 3"	"Let's sync up. Sure. I don't know. It could be like something super small to solve a problem. Like what's a teeny problem?"	"Facilitation"	"Team process"
98	"00:10:52"	"Speaker 4"	"Yeah, yeah, I like that."	"Validation of idea"	"Project"
99	"00:10:54"	"Speaker 3"	"Is there a problem that you guys, maybe you want to like fix, but say like like sort of help? Like how to tie my laces?"	""	""
100	"00:10:56"	"Speaker 3"	"OK, cool idea, tie laces. How would we go about?"	"Validation of idea, Facilitation"	"Project, Team process"
101	"00:11:05"	"Speaker 2"	"That it's difficult, right you need."	""	""
102	"00:11:05"	"Speaker 4"	"OK."	""	""
103	"00:11:12"	"Speaker 2"	"I'm thinking about just two ways."	""	""
104	"00:11:15"	"Speaker 3"	"You know, you put your shoe so."	""	""
105	"00:11:17"	"Speaker 2"	"Put your shoe in one place and if something happens or like a robot that walks to you, but that’s just added complexity. Forget all of that. Forget the implementation."	"Explanation of an idea"	"Project"
106	"00:11:27"	"Speaker 4"	"If we can somehow get a robot to tie a knot"	""	""
107	"00:11:29"	"Speaker 3"	"Pretty fire."	"Validation of idea"	"Project"
108	"00:11:31"	"Speaker 3"	"Come on."	""	""
109	"00:11:31"	"Speaker 2"	"Hahah pretty fire, right? You can get like way more use cases from that. You can sell it like crazy."	""	""
110	"00:11:38"	"Speaker 3"	"OK, here's an. Idea. Well, it's like we have a robot that sorts like trash for recycling."	""	""
111	"00:11:44"	"Speaker 2"	"I don't know. Sorts trash like like goes in the trash."	""	""
112	"00:11:47"	"Speaker 1"	"I know that there's already libraries for the the vision aspect of it. If you don't want to build from scratch, I know that there is previous like almost this exact idea on devpost that we can like, be inspired by."	""	""
113	"00:12:06"	"Speaker 3"	"We can write that down. At least that's that's something."	"Validation of idea"	"Project"
114	"00:12:12"	"Speaker 2"	"I should. Wait, you're imagining something that picks our trash or like categorizes when you throw it inside the bin that categorize?"	"Clarification of idea"	"Project"
115	"00:12:24"	"Speaker 3"	"Like it will be like. It'll at least make recycling a bit easier because sometimes people may not know. OK, what do I do? I picture this is being like a universal bin. You can dump it out in and it sorts it itself OK. Like, that's just the idea."	"Explanation of an idea"	"Project"
116	"00:12:40"	"Speaker 1"	"See with that my question is, is it something that picks something up and puts it down in the basket? Is it that the baskets have like valves that change where it lands?"	"Asking for idea clarification"	"Project"
117	"00:12:53"	"Speaker 3"	"Yeah, I got you. I'm thinking maybe it'll be a just add an item. It'll have to move over the baskets because if it's a valve then I don't know how it's going to. We might have to add some like ducts or something. I feel like that then it might be complicated."	"Explanation of an idea"	"Project"
118	"00:13:12"	"Speaker 1"	"And that's what our the 3D printer would be for. I don't know."	""	""
119	"00:13:16"	"Speaker 3"	"OK."	""	""
120	"00:13:17"	"Speaker 1"	"But it's on here."	""	""
121	"00:13:17"	"Speaker 3"	"Here, alright, this is an idea anymore. I mean, it could be something. A really small idea like I don't know. Small problem. Something to clean your glasses. I don't know. Yeah. I just. No, I'm just like throwing stuff out. I don't really. Yeah."	"Scoping"	"Design process"
122	"00:13:40"	"Speaker 1"	"How do you program like a homing feature?"	""	""
123	"00:13:43"	"Speaker 4"	"Coming to what homing slide, what?"	""	""
124	"00:13:44"	"Speaker 1"	"A homing feature. Like if I throw it that way, but I'm actually aiming for that way to like change trajectory to go where I'm aiming."	""	""
125	"00:13:55"	"Speaker 4"	"Think what you can do is yeah, for sure, depending on what sensor you use. I guess if you use a camera and you can track a ball and predict it trajectory, but usually you need 2 balls to kind of see it in a 3D space and create a vector that projects that you know the direction and then."	"Explanation of function"	"Clarification"
126	"00:13:55"	"Speaker 3"	"Sorry I'll just pick a."	""	""
127	"00:14:14"	"Speaker 4"	"You know, if you have some sort of thing that's like angling it, then you correct that vector according to what you sense with that camera or whatever sensor you're using. That's something you can do,."	""	""
128	"00:14:23"	"Speaker 1"	"What do you call those things that shoot the ball when you're playing a sport? One of those, but like an automatic aim, like a paddle? No, like. You know the the machine they like. Throw the baseballs when they practice pitching. Yeah. Yeah. But, like, with aim."	""	""
129	"00:14:43"	"Speaker 4"	"OK."	""	""
130	"00:14:43"	"Speaker 1"	"Aiming"	""	""
131	"00:14:50"	"Speaker 4"	"Yeah, I think. Like when evaluating a hardware project, we can the difficulty of how hard that project is we can like break it down by looking at the the numbers, degrees of freedom, right. And so the more degrees of freedom there is, the harder the project will be, right. And I think we should limit ourselves to a certain degree of freedom. Right. So."	"Scoping"	"Design process"
132	"00:15:14"	"Speaker 1"	"What would be an example of a degree of freedom that's doable?"	"Clarification"	"Clarification"
133	"00:15:18"	"Speaker 4"	"I say anything more than one or two is pretty hard."	""	""
134	"00:15:22"	"Speaker 1"	"What is an example of one or two degrees?"	""	""
135	"00:15:24"	"Speaker 4"	"So something that just rotates is 1 and then anything like with two joints, that's two degrees of freedom. So degrees of freedom is just like how many variables do you need to to describe the position of something? Right. So because with every increased degree of freedom, the math becomes more complicated, but the hardware required also scales, right? Yeah."	"Explanation of engineering concept, Scoping"	"Clarification, Design process"
136	"00:15:47"	"Speaker 1"	"OK."	""	""
137	"00:15:51"	"Speaker 4"	"So I mean, I think like limiting ourselves will help because like if we do something too ambitious like we might not even get like half halfway through."	"Scoping team goal"	"Team goal"
138	"00:15:55"	"Speaker 2"	"Yeah, for sure."	""	""
139	"00:15:39"	"Speaker 4"	"Right. And I think like completing a project is better than going halfway and like giving up."	"Scoping team goal"	"Team goal"
140	"00:16:07"	"Speaker 1"	"What chore do we have that's like one movement to complete? Cause I was thinking like dishes."	""	""
141	"00:16:13"	"Speaker 4"	"OK, I don't think we need to lend ourselves in our thinking, but rather just like the solutions we can come up with. OK, they should be like simple right in terms of mechanisms at least."	"Scoping"	"Design process"
142	"00:16:23"	"Speaker 1"	"I I guess my confusion is what are examples of simple?"	""	""
143	"00:16:24"	"Speaker 4"	"If it's."	""	""
144	"00:16:27"	"Speaker 1"	"Are examples simple enough?"	""	""
145	"00:16:34"	"Speaker 4"	"Yeah, I remember there was this project a couple years ago. It was like somebody making a pills like sorting thing and basically all you had to do was like 1 motor and then what it would do is like it would rotate and then just dispense a number of pills into a box and then that was like, you know for people with like Parkinson's or something, they can't remember? Like, no Parkinson's. What's the when they can't remember their."	""	""
146	"00:16:45"	"Speaker 1"	"Alzeihmers"	""	""
147	"00:16:45"	"Speaker 4"	"Yeah. And then that helps them to, like, keep track of their pills intake. So like, that's an example of like a hardware hack, but it only has one motor, 1 degree of freedom, which makes it really simple. Also, it's a very good solution to a problem. That's nice."	""	""
148	"00:17:18"	"Spealer 3"	"Pretty nice."	""	""
149	"00:17:19"	"Speaker 4"	"So like I would say that's like a really good example of like how to make it super simple, but also still remain hardware."	""	""
150	"00:17:25"	"Speaker 1"	"Makes sense, yeah."	""	""
151	"00:17:29"	"Speaker 1"	"I don't exactly know. How to do it but. Like counting change. We just have to measure how the diameter of each coin is. That weight? Yeah. Is that in, like, limited degree of freedom? Enough."	""	""
152	"00:17:34"	"Speaker 4"	"Oh yeah."	""	""
153	"00:17:37"	"Speaker 3"	"Or weight as well."	""	""
154	"00:17:44"	"Speaker 4"	"Yeah, I mean, the simplest way you know how to do it in like actual machines? They literally just have like a bunch of holes and then the smaller coins falls in the smaller holes. You just roll it down and then they fall in the smaller holes and then."	""	""
155	"00:17:56"	"Speaker 3"	"That's nice. That's actually pretty handy."	""	""
156	"00:17:58"	"Speaker 4"	"Yeah, like it's a very simple mechanism. There's like nothing required in mechanically because all you have to do is like a sheet that has like, hole cut out."	""	""
157	"00:18:06"	"Speaker 1"	"OK."	""	""
158	"00:18:07"	"Speaker 4"	"Right."	""	""
159	"00:18:10"	"Speaker 1"	"So now we're at too easy what's in the middle?"	""	""
160	"00:18:13"	"Speaker 4"	"Well, I think. Like we don't have to think about when necessary the solution is like we can start just by thinking about what is the problem we’re not solving right? And then we come up with asimple solution. But I'm not like a super good ideas guy, so I'm just like. Any inspiration?"	"Self-identification of knowledge and skills"	"Self-awareness"
161	"00:18:31"	"Speaker 3"	"That's good of inspiration, at least."	""	""
162	"00:18:35"	"Speaker 2"	"Well, you might want to remember this one of the sponsors is VM. So VM has like a bunch of robotics and a lot of APIs to do a lot of computer vision stuff very easy. That's good. Yeah. So, like a lot of pre growth stuff that we can use. So for example like they give you cameras they give you like motors like wheels that kind of thing mobility and like physical actions. So like for example. Because I went for like another hackathon with your sponsoring and the demo was like the demo application is this like tray bot that just goes to human beings as if when it finds human beings and gives you a food item, or like turns away if you're like wearing a Pacman shirts and then yeah."	"Sponsor"	"Hackathon features"
163	"00:19:14"	"Speaker 4"	"Yeah, yeah."	""	""
164	"00:19:17"	"Speaker 2"	"So that kind of tech is really difficult to from scratch, but we have it pre built so you can include that if you're worried about complexity."	"Recognition of individual goals"	""
165	"00:19:24"	"Speaker 3"	"But do you know how to like go about using it? Because I've I I've never experienced like that the."	"Self-identification of knowledge and skills"	"Self-awareness"
166	"00:19:31"	"Speaker 2"	"They have a workshop later, but like also according to like, I watched the workshop last night. It seems very simple like yeah, almost purely software, and like a bit of like mechanical testing and they give you a lot of functionality. Just in software. OK, OK, yeah. That's just to unblock you guys if like complexity of like task is an issue."	"Addressing group concern(s)"	"Team dynamics"
167	"00:19:50"	"Speaker 4"	"Yeah, yeah, yeah."	""	""
168	"00:19:54"	"Speaker 2"	"Problem wise doesn't help us at all."	""	""
169	"00:20:01"	"Speaker 4"	"We're putting each other. I'm going to finish."	""	""
170	"00:20:06"	"Speaker 4"	"Trying to think about what I struggle with, but honestly just like can't wait, can't wake up in the morning like stuff like that. It's not like anything that’s. You can think about that."	""	""
171	"00:20:15"	"Speaker 3"	"We could. We could have like someone in my school made a like a virtual assistant, their own virtual assistant. I don't know how they they they used PS5JS and Arduino. I don't know how, but they did that through a server. And it was quite simple. It was just for a few buttons. Like I don't know, it sets an alarm and when he wakes up. It it obviously wakes them up and then it tells them like whether it's something I don't know. I don't know how he did that. You should have asked but."	"Topic generation"	"Design process"
172	"00:20:51"	"Speaker 4"	"Think you can run?"	""	""
173	"00:20:51"	"Speaker 1"	"Google Assistant or like one of them to make a template. Yeah. Do you remember the accountability?"	""	""
174	"00:20:51"	"Speaker 3"	"Life. Yeah. Like an assist. Yeah."	""	""
175	"00:20:56"	"Speaker 2"	"Oh yeah."	""	""
176	"00:20:59"	"Speaker 1"	"The project that I. Told you on the bus."	""	""
177	"00:21:03"	"Speaker 2"	"RFID tags."	""	""
178	"00:21:04"	"Speaker 1"	"Yeah, cause he said about waking up. I I did a project. The part that's relevant here is RFID tags for accountability. So if the user needs to keep brushing their teeth and needs to keep drinking water but they don't do it, so the RFID tag is at the mirror is at the fridge, the alarm will not shut off until they go to the fridge."	"Topic generation"	"Design process"
179	"00:21:25"	"Speaker 3"	"Wow. Wow."	""	""
180	"00:21:27"	"Speaker 1"	"So like, yeah, so."	""	""
181	"00:21:28"	"Speaker 3"	"Motivation. Annoying motivation."	""	""
182	"00:21:30"	"Speaker 1"	"It works but in our case, something along the lines of in the hypothetical universe we are all roommates, and then you were assigned to take up the trash, but the trash was not taken out. How do I tell you? And then the RFID tag could be or a."	"Explanation of an idea"	"Project"
183	"00:21:47"	"Speaker 3"	"That's pretty cool."	"Validation of idea"	"Project"
184	"00:21:48"	"Speaker 1"	"Like we could have RFID hypothetical RFID's throughout our shared apartment of like this is tap this if you're done with the laundry, tap this if you did the dishes right, something that would add functionality could be a a weight sensor at the bottom of the trash can so that at a certain"	""	""
185	"00:22:07"	"Speaker 3"	"So if you pick it up."	""	""
186	"00:22:07"	"Speaker 1"	"no if it passes a certain weight that means the trash needs to be taken out."	""	""
187	"00:22:13"	"Speaker 2"	"Oh, OK."	""	""
188	"00:22:14"	"Speaker 1"	"And then we could add software level functionality of like there is a list of who's in charge of what? Every day it will check who's like, who is supposed to do that trash. Only that person gets texted to do the trash."	""	""
189	"00:22:27"	"Speaker 3"	"I like this idea. I think that's cool."	"Validation of idea"	"Project"
190	"00:22:29"	"Speaker 2"	"I I was actually thinking of it and I was like it's already her idea. So yeah, yeah."	"Trying to claim idea as own"	"Self-awareness"
191	"00:22:34"	"Speaker 3"	"It's a. It's a. It's like a creative idea."	""	""
192	"00:22:36"	"Speaker 2"	"It is."	""	""
193	"00:22:37"	"Speaker 3"	"Have you guys used the app called alarm me? No oh my god don't use this app."	""	""
194	"00:22:43"	"Speaker 1"	"Doesn't it like quiz you before you can shut off the alarm?"	""	""
195	"00:22:45"	"Speaker 3"	"Alarm gives you like math questions mistake."	""	""
196	"00:22:47"	"Speaker 2"	"This was real mistake."	""	""
197	"00:22:50"	"Speaker 3"	"Oh my friend told me it's a harmless app and you know I downloaded it. It looks so harmless. It had like meditation Wallpapers it like had like nice section for meditation music. I was like oh this is so nice. So then it like said."	""	""
198	"00:22:57"	"Speaker 4"	"Oh my God."	""	""
199	"00:23:04"	"Speaker 3"	"Yeah, alarm. And he's like, yeah, just set an alarm. That's cool. So in the morning. It like it it just plays like a nuclear sound effect and. This was back when I was living with my parents in high school. Oh boy, so my friends are Indian so they no anyway. So then then we were to shut that off was like it just put a difficult math question. Like, I don't know. One 56,000,600 something times divided by no, not even divided by modulus something. I'm like I just woke up like and my brain was so confused. I was like, what's happening? What? And then my mom came. Just like what are you doing? And I was like. OK. And then I was like trying to like work on the math, I don't know why I didn't use the calculator, my brain didn't wasn’t working when my dad came and when my dad came he was he was upset. So then. Oh my God."	""	""
200	"00:24:02"	"Speaker 2"	"This is so bad."	""	""
201	"00:24:04"	"Speaker 3"	"So then he's like to calculate and I was like right and then I've switched it off. Never again. That I won't. I I think it's still up there. But anyway."	""	""
202	"00:24:13"	"Speaker 2"	"I love. So many colors."	""	""
203	"00:24:14"	"Speaker 3"	"But anyway, it kind of worked though."	""	""
204	"00:24:16"	"Speaker 4"	"It worked."	""	""
205	"00:24:17"	"Speaker 3"	"It worked, yeah."	""	""
206	"00:24:17"	"Speaker 2"	"It kind of. It woke me up."	""	""
207	"00:24:21"	"Speaker 3"	"Anyway. But anyway, yeah, not a slight detour, but I really like this idea. I think this so."	""	""
208	"00:24:27"	"Speaker 1"	"And it fits our story, because we're all from or three of us are from [North American city]. So we can just say oh we did the things."	""	""
209	"00:24:34"	"Speaker 3"	"So how we how do we go about that? And so yeah, so."	""	""
210	"00:24:38"	"Speaker 2"	"So this is it, the same thing where you have RFID tags to log activities. Is that the main core idea?"	"Asking for idea clarification"	"Project"
211	"00:24:45"	"Speaker 1"	"So this would strip away because. My healthcare one was super customizable, but here we already know what to expect. We know that they got a sweep, we know they got to take up the trash. We know they got to. Unload the dishwasher. It's like the same chores. We don't have to. Customize anything so. That that part is at least simpler."	"Clarification of idea"	"Project"
212	"00:25:06"	"Speaker 3"	"Yeah, for sure, because that way we can measure it, we can quantify it like the trash thing, she said. Like, yeah, goes down some weight. We can, yeah."	""	""
213	"00:25:15"	"Speaker 1"	"You could even like."	""	""
214	"00:25:16"	"Speaker 2"	"OK."	""	""
215	"00:25:17"	"Speaker 3"	"But for that we would have to get, we would have to, I guess request for some things like a pressure sensor. Well, depends. Yeah, yeah."	""	""
216	"00:25:23"	"Speaker 2"	"We would, yeah."	""	""
217	"00:25:27"	"Speaker 2"	"Wait, so the person? So the idea is for the trash can trash just to understand is that we have like a presence that tells us when the trash is full and then notify somebody and then they can log it clearing it out? That’s my understanding."	"Clarification of idea"	"Project"
218	"00:25:40"	"Speaker 3"	"Right. So it's kind of like by the trash can at this before my."	""	""
219	"00:25:44"	"Speaker 1"	"We don't. We don't have to log any of it. I don't. Because we could simplify it to just be notified if you got to do a thing and then whether or not you did. The thing is, is just like whether you turned off the notification or not."	""	""
220	"00:25:57"	"Speaker 3"	"So I think. It's called."	""	""
221	"00:25:57"	"Speaker 3"	"Like, yeah, so there would just be like a a button or some idea or something by the trash bin and when it's full I guess some sound will play indicating OK, it's ful, you need to take it out so when the one roommate comes, OK, cool. Takes out the trash and it goes below some weight level then it shuts off and then logs it or it doesn't log it. But it just says OK, it shuts off. OK."	""	""
222	"00:26:29"	"Speaker 2"	"OK."	""	""
223	"00:26:35"	"Speaker 3"	"How can we apply this to? Like this? That's just the bin example, what about something else, like a roommate?"	""	""
224	"00:26:42"	"Speaker 2"	"Something your mind? Seems very specific."	""	""
225	"00:26:45"	"Speaker 3"	"Yeah, exactly. Because I feel like that would just be called the trash."	""	""
226	"00:26:49"	"Speaker 2"	"Yeah, trash alarm."	""	""
227	"00:26:49"	"Speaker 3"	"Thing rather than the meta system fraction 1. Yeah. Then a roommate assistant, you know."	""	""
228	"00:26:54"	"Speaker 2"	"So yeah."	""	""
229	"00:26:58"	"Speaker 1"	"What other who has roommates here? What other?"	""	""
230	"00:27:03"	"Speaker 3"	"Just generally like cleaning the the kitchen. I guess yeah. When people cook, they don't clean or come to clean, but they don't."	""	""
231	"00:27:09"	"Speaker 4"	"Right."	""	""
232	"00:27:13"	"Speaker 2"	"Yes, toilets as well."	""	""
233	"00:27:15"	"Speaker 3"	"Toilet. Yeah, washroom. Their room is their own thing I guess. OK. Yeah. Cleaning the room in general, vacuuming, mopping that stuff. Groceries? We sometimes split it so I feel like that's important."	""	""
234	"00:27:34"	"Speaker 4"	"It's not enough then keeping the fridge clean."	""	""
